Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Tscheligi, Manfred; Meschtscherjakov, Alexander; Weiss, Astrid; Wulf, Volker; Evers, Vanessa; Mutlu, Bilge; ",Exploring collaboration in challenging environments: from the car to the factory and beyond,Proceedings of the ACM 2012 Conference on Computer Supported Cooperative Work Companion,,,15-16,2012,
"Broz, Frank; Lehmann, Hagen; Nakano, Yukiko; Mutlu, Bilge; ",Gaze in HRI: from modeling to communication,Proceedings of the seventh annual ACM/IEEE international conference on Human-Robot Interaction,,,491-492,2012,
"Szafir, Daniel; Mutlu, Bilge; ",Pay attention! Designing adaptive agents that monitor and improve user engagement,Proceedings of the SIGCHI conference on human factors in computing systems,,,11-20,2012,
"Terrell, Allison; Mutlu, Bilge; ",A Regression-based Approach to Modeling Addressee Backchannels,SigDial,,,,2012,
"De Simone, JJ; Verbruggen, Tessa; Kuo, Li-Hsiang; Mutlu, Bilge; ","Is cheating a human function? The roles of presence, state hostility, and enjoyment in an unfair video game",Computers in Human Behavior,28,6,2351-2358,2012,Pergamon
"Mutlu, Bilge D; Forlizzi, Jodi; ",The chaotic nature of human experience: Insights on the subject matter of design towards establishing a science of design,,,,,2004,
"Andrist, Sean; Pejsa, Tomislav; Mutlu, Bilge; Gleicher, Michael; ",A head-eye coordination model for animating gaze shifts of virtual characters,Proceedings of the 4th Workshop on Eye Gaze in Intelligent Human Machine Interaction,,,1-6,2012,
"Pejsa, Tomislav; Mutlu, Bilge; Gleicher, Michael; ",Stylized and performative gaze for character animation,Computer Graphics Forum,32,2pt2,143-152,2013,"Blackwell Publishing Ltd Oxford, UK"
"Andrist, Sean; Spannan, Erin; Mutlu, Bilge; ",Rhetorical robots: making robots more effective speakers using linguistic cues of expertise,2013 8th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,341-348,2013,IEEE
"Mutlu, Bilge; Terrell, Allison; Huang, Chien-Ming; ",Coordination Mechanisms in Human-Robot Collaboration,HRI 2013 Workshop on Collaborative Manipulation,,,,2013,
"Broz, Frank; Lehmann, Hagen; Nakano, Yukiko; Mutlu, Bilge; ",HRI Face-to-Face: Gaze and speech communication (fifth workshop on eye-gaze in intelligent human-machine interaction),2013 8th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,431-432,2013,IEEE
"Szafir, Daniel; Mutlu, Bilge; ",ARTFul: adaptive review technology for flipped learning,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,1001-1010,2013,
"Huang, Chien-Ming; Mutlu, Bilge; ",Modeling and Evaluating Narrative Gestures for Humanlike Robots.,Robotics: Science and Systems,,,57-64,2013,
"Hoque, Mohammed; Courgeon, Matthieu; Martin, Jean-Claude; Mutlu, Bilge; Picard, Rosalind W; ",Mach: My automated conversation coach,Proceedings of the 2013 ACM international joint conference on Pervasive and ubiquitous computing,,,697-706,2013,
"Huang, Chien-Ming; Mutlu, Bilge; ",The repertoire of robot behavior: Enabling robots to achieve interaction goals through social behavior,Journal of Human-Robot Interaction,2,2,80-102,2013,Journal of Human-Robot Interaction Steering Committee
"Byom, Lindsey Jacquelyn; Mutlu, Bilge; ","Theory of mind: Mechanisms, methods, and new directions",Frontiers in human neuroscience,7,,413,2013,Frontiers
"Andrist, Sean; Mutlu, Bilge; Gleicher, Michael; ",Conversational gaze aversion for virtual agents,International Workshop on Intelligent Virtual Agents,,,249-262,2013,"Springer, Berlin, Heidelberg"
"Mutlu, Bilge; Szafir, Daniel J; ",Teaching system for improving information retention based on brain-state monitoring,,,,,2015,"US Patent 9,224,309"
"Miller, Shadeequa; Mutlu, Bilge; Lee, John; ","Artifact usage, context, and privacy management in logging and tracking personal health information in older adults",Proceedings of the human factors and ergonomics society annual meeting,57,1,1027-1031,2013,"SAGE Publications Sage CA: Los Angeles, CA"
"Broz, Frank; Lehmann, Hagen; Mutlu, Bilge; Nakano, Yukiko; Hatfield, UK; ",Introduction to the special issue on gaze in human-robot communication,Interaction Studies,14,3,vii-xv,2013,John Benjamins
"Szafir, Daniel; Mutlu, Bilge; Fong, Terrence; ",Communication of intent in assistive free flyers,Proceedings of the 2014 ACM/IEEE international conference on Human-robot interaction,,,358-365,2014,
"Andrist, Sean; Tan, Xiang Zhi; Gleicher, Michael; Mutlu, Bilge; ",Conversational gaze aversion for humanlike robots,2014 9th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,25-32,2014,IEEE
"Sauppé, Allison; Mutlu, Bilge; ",Robot deictics: How gesture and context shape referential communication,2014 9th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,342-349,2014,IEEE
"Sauppé, Allison; Mutlu, Bilge; ",How social cues shape task coordination and communication,Proceedings of the 17th ACM conference on Computer supported cooperative work & social computing,,,97-108,2014,
